layer,rfc_mean_base,rfc_std_base,rfc_ci_low_base,rfc_ci_high_base,rsi_mean_base,rsi_std_base,rsi_ci_low_base,rsi_ci_high_base,n_heads_base,rfc_mean_instruct,rfc_std_instruct,rfc_ci_low_instruct,rfc_ci_high_instruct,rsi_mean_instruct,rsi_std_instruct,rsi_ci_low_instruct,rsi_ci_high_instruct,n_heads_instruct,rfc_diff,rsi_diff,rfc_diff_ci_low,rfc_diff_ci_high,rsi_diff_ci_low,rsi_diff_ci_high
20,0.07611720902579171,0.23077578961223819,-0.013368300366376554,0.16560271841795998,0.12659805,0.121598326,0.07944713684356393,0.1737489536162597,28,-0.0381604220185961,0.1158074771098243,-0.08306587374733729,0.006745029710145081,0.07449586,0.07144389,0.04679280978636119,0.10219890910192159,28,-0.11427763104438782,-0.052102186,-0.21439833812408307,-0.014156923964692564,-0.1067891780416918,0.0025848064701509688
21,0.06272839435509273,0.2156507800252243,-0.02089224858063514,0.1463490372908206,0.1627673,0.21533586,0.07926877594327676,0.24626583599710716,28,-0.005197222743715558,0.09139802055492265,-0.04063767531690607,0.030243229829474954,0.10430853,0.08967677,0.06953551033936342,0.13908155103720823,28,-0.06792561709880829,-0.058458775,-0.15874652660524882,0.022895292407632245,-0.1489085815881787,0.03199103102436647
22,-0.05906425842217037,0.23581960252378728,-0.15050555428755208,0.03237703744321133,0.10128502,0.19775294,0.02460442807077598,0.17796560798288155,28,-0.03886870188372476,0.09506617587293627,-0.0757315166020674,-0.0020058871653821156,0.105587736,0.078565694,0.07512313694257126,0.1360523346016945,28,0.02019555653844561,0.0043027177,-0.07839641929376465,0.11878753237065587,-0.07820790942293879,0.086813344913547
23,0.029238869036946977,0.19281917706424442,-0.04552860249533365,0.1040063405692276,0.16246472,0.13210094,0.11124132601058964,0.21368811997138973,28,-0.041433057614735196,0.08929181759347847,-0.07605680993871494,-0.006809305290755449,0.120359644,0.044762302,0.10300263404095894,0.13771665454661125,28,-0.07067192665168218,-0.04210508,-0.15306718758532256,0.011723334281958209,-0.09618929222558445,0.011979134831175263
24,0.03512751630374363,0.25484954351575934,-0.06369282034503582,0.13394785295252307,0.23023532,0.2690018,0.12592730992744733,0.3345433366923494,28,-0.02923729590007237,0.08281249373868517,-0.06134862871662794,0.0028740369164832018,0.11473702,0.10305609,0.0747760396989181,0.1546979981867478,28,-0.064364812203816,-0.115498304,-0.1682714848992387,0.0395418604916067,-0.22719898260102328,-0.003797626133107579
25,0.0067419494901384625,0.22268499434101385,-0.07960627701178478,0.09309017599206172,0.12009897,0.18117316,0.04984735880154112,0.19035058285933992,28,0.008123610700879778,0.06818700955488173,-0.018316551389778526,0.03456377279153808,0.102253556,0.068301976,0.07576881493312695,0.1287382975699248,28,0.0013816612107413152,-0.017845415,-0.08892392217925581,0.09168724460073845,-0.09292358269187943,0.05723275353405015
26,0.08637246702398572,0.2573850154704721,-0.01343102301275638,0.18617595706072781,0.16092119,0.115552805,0.11611448587383394,0.205727886543616,28,-0.004620026264871869,0.09167802014588748,-0.0401690513450363,0.030928998815292565,0.080214694,0.054006632,0.05927310828296446,0.10115628000171877,28,-0.0909924932888576,-0.08070649,-0.1969380916290635,0.014953105051348309,-0.13016546914038268,-0.03124751499238404
27,-0.08795699690069471,0.46314066203244403,-0.26754419767178234,0.09163020387039293,0.11531298,0.2613256,0.013981490290525034,0.21664446696007006,28,-0.028611432228769575,0.08135453041941858,-0.06015742588856661,0.0029345614310274555,0.07579507,0.094349526,0.039210142480076364,0.11237999619370598,28,0.05934556467192513,-0.03951791,-0.12299124564562676,0.24168237498947703,-0.14725150386901353,0.06821568529220078
28,0.11428659515721458,0.1446522382342795,0.058196312702276605,0.17037687761215256,0.16229527,0.16269185,0.09920995469397656,0.22538057927780994,28,0.02028282412460872,0.07913826303265784,-0.010403790757255112,0.05096943900647255,0.09029585,0.058179576,0.0677361667903879,0.11285553567085478,28,-0.09400377103260586,-0.071999416,-0.15793958352281007,-0.03006795854240167,-0.1389971469781392,-0.005001684532404627
29,0.1804110301392419,0.14427702552237606,0.12446623998534431,0.23635582029313948,0.12717569,0.12082472,0.08032475448937648,0.17402662299780614,28,0.06024054544312613,0.06788532877999054,0.03391736294491261,0.08656372794133965,0.07647363,0.08381291,0.0439743782511406,0.10897288367837142,28,-0.12017048469611577,-0.050702058,-0.18199871030706058,-0.05834225908517096,-0.10772145331611015,0.0063173377584395535
30,0.06708912764276777,0.1529317404327636,0.0077883893900625376,0.126389865895473,0.13673116,0.10384382,0.09646473168360539,0.17699759365094356,28,-0.016840858118874685,0.08925896897807796,-0.051451873079516264,0.017770156841766898,0.06996228,0.071629524,0.04218724807964591,0.09773730793727609,28,-0.08392998576164246,-0.066768885,-0.1525922018191046,-0.015267769704180312,-0.11568552550535116,-0.017852243812275785
31,0.08720996124403817,0.13621464748660445,0.03439143492680862,0.1400284875612677,0.111528076,0.06949199,0.08458189558456522,0.13847425687839407,28,-0.0010239439351218088,0.10710338785446043,-0.04255430219275033,0.04050641432250672,0.056547444,0.0839949,0.023977621177489354,0.08911726745003978,28,-0.08823390517915998,-0.054980632,-0.15542443560816346,-0.021043374750156496,-0.09725225396589764,-0.012709009869532509
